id	GC	Sources
RGIG5931	48.74	Ruminant
RGIG5949	47.55	Ruminant
RGIG5950	51.68	Ruminant
RGIG5956	48.57	Ruminant
RGIG5962	48.8	Ruminant
RGIG5970	54.06	Ruminant
RGIG5980	52.19	Ruminant
RGIG5983	50.7	Ruminant
RGIG5985	51.92	Ruminant
RGIG5996	54.04	Ruminant
RGIG6011	42.34	Ruminant
RGIG6012	46.44	Ruminant
RGIG6034	51.24	Ruminant
RGIG6036	50.89	Ruminant
RGIG6039	52.77	Ruminant
RGIG6047	48.85	Ruminant
RGIG6054	49.27	Ruminant
RGIG6055	49.79	Ruminant
RGIG6064	48.05	Ruminant
RGIG6066	54.35	Ruminant
RGIG6067	57.52	Ruminant
RGIG6074	54.16	Ruminant
RGIG6084	53.72	Ruminant
RGIG6095	54.05	Ruminant
RGIG6096	49.86	Ruminant
RGIG6131	44	Ruminant
RGIG6329	44.46	Ruminant
RGIG6340	45.38	Ruminant
RGIG64	43.18	Ruminant
RGIG646	50.63	Ruminant
RGIG652	43.13	Ruminant
RGIG6524	52.45	Ruminant
RGIG6525	46.34	Ruminant
RGIG6526	46.8	Ruminant
RGIG6549	48.7	Ruminant
RGIG655	54.5	Ruminant
RGIG6550	56.25	Ruminant
RGIG6569	54.74	Ruminant
RGIG6606	49.62	Ruminant
RGIG6623	50.28	Ruminant
RGIG6665	47.54	Ruminant
RGIG6676	48.6	Ruminant
RGIG6685	48.44	Ruminant
RGIG669	43.32	Ruminant
RGIG6706	44.45	Ruminant
RGIG6730	48.9	Ruminant
RGIG6734	50.48	Ruminant
RGIG6764	49.48	Ruminant
RGIG6781	46.76	Ruminant
RGIG6800	47.63	Ruminant
RGIG6807	47.99	Ruminant
RGIG681	42.9	Ruminant
RGIG6832	50.46	Ruminant
RGIG6851	48.95	Ruminant
RGIG6853	53.58	Ruminant
RGIG6860	47.98	Ruminant
RGIG6880	48.19	Ruminant
RGIG6895	47.34	Ruminant
RGIG6906	56.41	Ruminant
RGIG6907	52.2	Ruminant
RGIG6916	48.28	Ruminant
RGIG6925	51.45	Ruminant
RGIG6934	46.68	Ruminant
RGIG6953	46.92	Ruminant
RGIG6979	51.65	Ruminant
RGIG6998	56.57	Ruminant
RGIG710	43.11	Ruminant
RGIG7120	52.1	Ruminant
RGIG713	48.56	Ruminant
RGIG7142	50.72	Ruminant
RGIG7148	48.62	Ruminant
RGIG7170	52.01	Ruminant
RGIG721	42.95	Ruminant
RGIG724	46.93	Ruminant
RGIG7297	50.55	Ruminant
RGIG7385	52.5	Ruminant
RGIG739	42.87	Ruminant
RGIG7526	51.64	Ruminant
RGIG7546	48.06	Ruminant
RGIG7565	52.31	Ruminant
RGIG7570	48.7	Ruminant
RGIG7572	47.24	Ruminant
RGIG758	43.11	Ruminant
RGIG7581	46.26	Ruminant
RGIG7584	49.25	Ruminant
RGIG7592	52.29	Ruminant
RGIG7609	49.34	Ruminant
RGIG7613	47.75	Ruminant
RGIG7617	53.6	Ruminant
RGIG7649	49.84	Ruminant
RGIG765	43	Ruminant
RGIG773	51.68	Ruminant
RGIG7796	52	Ruminant
RGIG7809	47.18	Ruminant
RGIG7810	45.78	Ruminant
RGIG7831	52.53	Ruminant
RGIG7841	49.07	Ruminant
RGIG7851	49.17	Ruminant
RGIG7915	52.2	Ruminant
RGIG7923	49.25	Ruminant
RGIG794	54.83	Ruminant
RGIG7972	45.66	Ruminant
RGIG7996	48.21	Ruminant
RGIG8014	49.9	Ruminant
RGIG8021	51.25	Ruminant
RGIG8039	52.72	Ruminant
RGIG8053	51.12	Ruminant
RGIG8056	51.17	Ruminant
RGIG8062	55.08	Ruminant
RGIG8072	48.37	Ruminant
RGIG8115	48.99	Ruminant
RGIG8140	45.8	Ruminant
RGIG8144	52.85	Ruminant
RGIG8167	50.04	Ruminant
RGIG82	49.32	Ruminant
RGIG8242	44.15	Ruminant
RGIG8247	54.17	Ruminant
RGIG8262	53.12	Ruminant
RGIG8352	47.65	Ruminant
RGIG8405	46.94	Ruminant
RGIG8407	46.38	Ruminant
RGIG8408	50.14	Ruminant
RGIG8412	41.18	Ruminant
RGIG8413	44.75	Ruminant
RGIG8418	48.61	Ruminant
RGIG8421	50.91	Ruminant
RGIG8422	46.76	Ruminant
RGIG8428	47.53	Ruminant
RGIG8434	53.5	Ruminant
RGIG8436	48.24	Ruminant
RGIG8441	50.43	Ruminant
RGIG8451	51.5	Ruminant
RGIG8491	44.51	Ruminant
RGIG8513	49.55	Ruminant
RGIG857	46.92	Ruminant
RGIG8586	43.15	Ruminant
RGIG8630	51.66	Ruminant
RGIG8651	49.6	Ruminant
RGIG8660	48.8	Ruminant
RGIG8672	48.1	Ruminant
RGIG8703	47.11	Ruminant
RGIG8726	48.19	Ruminant
RGIG8727	47.19	Ruminant
RGIG8759	47.19	Ruminant
RGIG8783	47.56	Ruminant
RGIG8840	46.96	Ruminant
RGIG8841	50.54	Ruminant
RGIG8843	50.45	Ruminant
RGIG8852	47.68	Ruminant
RGIG8853	47.82	Ruminant
RGIG8855	46.87	Ruminant
RGIG8870	51.04	Ruminant
RGIG8873	53.33	Ruminant
RGIG8875	51.17	Ruminant
RGIG8877	50.92	Ruminant
RGIG8879	49.87	Ruminant
RGIG8881	46.99	Ruminant
RGIG8885	51.46	Ruminant
RGIG8892	46.77	Ruminant
RGIG8896	53.73	Ruminant
RGIG8897	51.51	Ruminant
RGIG8907	53.87	Ruminant
RGIG8991	45.31	Ruminant
RGIG9026	54.75	Ruminant
RGIG9157	47.89	Ruminant
RGIG9170	54.45	Ruminant
RGIG9172	56.22	Ruminant
RGIG9173	48.47	Ruminant
RGIG9174	55.34	Ruminant
RGIG9195	49.44	Ruminant
RGIG9196	53.19	Ruminant
RGIG9210	46.52	Ruminant
RGIG9214	54.54	Ruminant
RGIG9235	48.28	Ruminant
RGIG9242	47.48	Ruminant
RGIG9254	49.72	Ruminant
RGIG9256	54.68	Ruminant
RGIG9279	52.91	Ruminant
RGIG9306	47.97	Ruminant
RGIG9347	48.33	Ruminant
RGIG9357	48.91	Ruminant
RGIG9483	45.51	Ruminant
RGIG951	46.85	Ruminant
RGIG9654	50.08	Ruminant
RGIG9681	50.01	Ruminant
RGIG9694	47.96	Ruminant
RGIG9705	48.16	Ruminant
RGIG972	45.36	Ruminant
RGIG9954	54.11	Ruminant
RGIG996	51.84	Ruminant
RGIG9960	49.64	Ruminant
RGIG9967	48.08	Ruminant
RGIG9969	54.44	Ruminant
RGIG9991	49.11	Ruminant
RGIG9994	48.17	Ruminant
RUG003	50.6	Ruminant
RUG022	48.06	Ruminant
RUG030	50.03	Ruminant
RUG036	42.4	Ruminant
RUG037	48.03	Ruminant
RUG046	48.13	Ruminant
RUG047	48.09	Ruminant
RUG056	51.26	Ruminant
RUG058	52.61	Ruminant
RUG059	49.21	Ruminant
RUG062	48.74	Ruminant
RUG063	49.49	Ruminant
RUG064	47.23	Ruminant
RUG069	48.15	Ruminant
RUG070	42.5	Ruminant
RUG071	45.79	Ruminant
RUG073	51.27	Ruminant
RUG085	46.15	Ruminant
RUG086	47.94	Ruminant
RUG101	47.42	Ruminant
RUG106	45.94	Ruminant
RUG107	51.08	Ruminant
RUG108	49.38	Ruminant
RUG112	47.67	Ruminant
RUG116	47.97	Ruminant
RUG124	47.09	Ruminant
RUG126	46.25	Ruminant
RUG136	50.98	Ruminant
RUG137	54.79	Ruminant
RUG139	47.33	Ruminant
RUG144	51.04	Ruminant
RUG160	48.8	Ruminant
RUG168	48.64	Ruminant
RUG169	47.29	Ruminant
RUG172	49.22	Ruminant
RUG176	47.33	Ruminant
RUG178	52.44	Ruminant
RUG195	49.96	Ruminant
RUG200	52.87	Ruminant
RUG209	47.94	Ruminant
RUG212	50.06	Ruminant
RUG216	51.64	Ruminant
RUG219	47.57	Ruminant
RUG224	48.48	Ruminant
RUG232	49.06	Ruminant
RUG233	53.05	Ruminant
RUG249	49.24	Ruminant
RUG259	49.68	Ruminant
RUG273	48.05	Ruminant
RUG280	52.88	Ruminant
RUG292	51.94	Ruminant
RUG295	47.79	Ruminant
RUG302	47.35	Ruminant
RUG307	49.06	Ruminant
RUG309	47.99	Ruminant
RUG315	53.05	Ruminant
RUG318	51.55	Ruminant
RUG339	49.94	Ruminant
RUG355	48.17	Ruminant
RUG383	48.99	Ruminant
RUG403	53.02	Ruminant
RUG413	53.13	Ruminant
RUG414	52.36	Ruminant
RUG419	51.39	Ruminant
RUG424	53.51	Ruminant
RUG430	52.98	Ruminant
RUG431	50.71	Ruminant
RUG435	48.1	Ruminant
RUG443	50.02	Ruminant
RUG445	51.15	Ruminant
RUG446	54.58	Ruminant
RUG451	53.03	Ruminant
RUG457	46.68	Ruminant
RUG459	45.41	Ruminant
RUG461	50.96	Ruminant
RUG473	49.34	Ruminant
RUG474	53.64	Ruminant
RUG488	48.33	Ruminant
RUG504	47.49	Ruminant
RUG515	51.41	Ruminant
RUG533	48.6	Ruminant
RUG535	48.19	Ruminant
RUG541	51.84	Ruminant
RUG546	51.99	Ruminant
RUG550	46.5	Ruminant
RUG562	53.85	Ruminant
RUG571	52.09	Ruminant
RUG577	52.24	Ruminant
RUG582	53.93	Ruminant
RUG589	47.81	Ruminant
RUG599	47.2	Ruminant
RUG602	54.43	Ruminant
RUG624	49.75	Ruminant
RUG647	49.6	Ruminant
RUG660	49.14	Ruminant
RUG668	48.79	Ruminant
RUG685	51.58	Ruminant
RUG693	47.38	Ruminant
RUG697	53.6	Ruminant
RUG742	52.54	Ruminant
RUG744	51.34	Ruminant
RUG751	42.85	Ruminant
RUG753	50.13	Ruminant
RUG759	51.89	Ruminant
RUG765	47.23	Ruminant
RUG766	49.25	Ruminant
RUG771	51.03	Ruminant
RUG782	47.21	Ruminant
RUG785	50.37	Ruminant
RUG788	48.5	Ruminant
RUG812	48.7	Ruminant
RUG827	55.56	Ruminant
RUG838	48.07	Ruminant
RUG839	52.13	Ruminant
RUG843	55.83	Ruminant
hRUG878	46.9	Ruminant
hRUG879	46.63	Ruminant
hRUG905	48.26	Ruminant
hRUG906	51.03	Ruminant
hRUG908	51.16	Ruminant
hRUG913	49.24	Ruminant
megahit_GFB1_bin.24	49.71	Ruminant
megahit_HCN18_bin.18	45.71	Ruminant
megahit_HDN5_bin.28	43.67	Ruminant
megahit_HDN5_bin.74	49.4	Ruminant
megahit_LCN22_bin.33	45.29	Ruminant
megahit_M14_bin.4	44.84	Ruminant
megahit_NB1_bin.5	49.22	Ruminant
megahit_NB21_bin.18	48.75	Ruminant
megahit_NB25_bin.8	48.62	Ruminant
megahit_NB27_bin.14	47.58	Ruminant
megahit_NB31_bin.29	49.95	Ruminant
megahit_NB3_bin.16	45.65	Ruminant
megahit_NB8_bin.25	51.78	Ruminant
megahit_NB8_bin.37	51.05	Ruminant
megahit_NW13_bin.38	47.33	Ruminant
megahit_NW29_bin.52	49.65	Ruminant
megahit_NZ21_bin.9	50.14	Ruminant
megahit_NZ24_bin.8	51.71	Ruminant
megahit_NZ5_bin.10	49.65	Ruminant
megahit_NZ7_bin.9	45.7	Ruminant
megahit_S-11-071_FDME192071055-1a_bin.87	48.61	Ruminant
megahit_S-13_BDME192032766-1a_bin.25	48.97	Ruminant
megahit_S-13_BDME192032766-1a_bin.37	37.6	Ruminant
megahit_S-14_BDME192032767-1a_bin.46	49.43	Ruminant
megahit_S-16_BDME192032769-1a_bin.28	40.9	Ruminant
megahit_S-17-0037_FDME192071048-1a_bin.55	53.31	Ruminant
megahit_S-17_BDME192032770-1a_bin.19	52.34	Ruminant
megahit_S-18-0084_FDME192071051-1a_bin.10	50.34	Ruminant
megahit_S-1_FDME192071053-1a_bin.29	45.21	Ruminant
megahit_S-20-0040_FDME192071062-1a_bin.19	46.91	Ruminant
megahit_S-21_FDME192071058-1a_bin.2	49.3	Ruminant
megahit_S-21_FDME192071058-1a_bin.23	52.09	Ruminant
megahit_S-23_FDME192071050-1a_bin.13	47.1	Ruminant
megahit_S-23_FDME192071050-1a_bin.26	43.2	Ruminant
megahit_S-23_FDME192071050-1a_bin.4	46.41	Ruminant
megahit_S-23_FDME192071050-1a_bin.56	48.62	Ruminant
megahit_S-24-0082_FDME192071063-1a_bin.2	45.94	Ruminant
megahit_S-24-0082_FDME192071063-1a_bin.38	49.8	Ruminant
megahit_S-24-0082_FDME192071063-1a_bin.45	45.93	Ruminant
megahit_S-24_FDME192071042-1a_bin.23	54.32	Ruminant
megahit_S-28_FDME192071034-1a_bin.29	47.29	Ruminant
megahit_S-29_FDME192071030-1a_bin.3	49.77	Ruminant
megahit_S-29_FDME192071030-1a_bin.47	47.78	Ruminant
megahit_S-29_FDME192071030-1a_bin.91	53.4	Ruminant
megahit_S-2_BDME192032755-1a_bin.7	51.95	Ruminant
megahit_S-35_FDME192071059-1a_bin.54	48.22	Ruminant
megahit_S-35_FDME192071059-1a_bin.92	49.61	Ruminant
megahit_S-49_BDME192032801-1a_bin.4	52.97	Ruminant
megahit_S-4_FDME192071061-1a_bin.70	50.92	Ruminant
megahit_S-4_FDME192071061-1a_bin.9	49.97	Ruminant
megahit_S-516_FDME192071037-1a_bin.3	49.15	Ruminant
megahit_S-518_FDME192071038-1a_bin.55	44.04	Ruminant
megahit_S-518_FDME192071038-1a_bin.79	51.64	Ruminant
megahit_S-519_FDME192071040-1a_bin.51	54.21	Ruminant
megahit_S-520_FDME192071044-1a_bin.30	50.21	Ruminant
megahit_S-520_FDME192071044-1a_bin.31	42.97	Ruminant
megahit_S-523_FDME192071043-1a_bin.18	49.01	Ruminant
megahit_S-523_FDME192071043-1a_bin.25	47.24	Ruminant
megahit_S-523_FDME192071043-1a_bin.3	48.69	Ruminant
megahit_S-523_FDME192071043-1a_bin.31	48.61	Ruminant
megahit_S-53_BDME192032805-1a_bin.14	41.2	Ruminant
megahit_S-63_BDME192032815-1a_bin.21	53.79	Ruminant
megahit_S-63_BDME192032815-1a_bin.22	51.37	Ruminant
megahit_S-64_BDME192032816-1a_bin.23	49.62	Ruminant
megahit_S-75_FDME192071041-1a_bin.39	51.88	Ruminant
megahit_S-8-0036_FDME192071065-1a_bin.32	52.47	Ruminant
megahit_SMS11_bin.59	52.49	Ruminant
megahit_SMS12_bin.19	47.28	Ruminant
megahit_SMS1_bin.29	43.39	Ruminant
megahit_SMS4_bin.54	51.39	Ruminant
megahit_SMS5_bin.64	48.8	Ruminant
megahit_SMS7_bin.101	47.46	Ruminant
megahit_SMS7_bin.84	54.99	Ruminant
megahit_SNS12_bin.15	44.71	Ruminant
megahit_SNS12_bin.18	51.54	Ruminant
megahit_SNS14_bin.15	49.72	Ruminant
megahit_SNS14_bin.18	53.96	Ruminant
megahit_SNS3_bin.33	43.02	Ruminant
megahit_SNS3_bin.49	53.29	Ruminant
megahit_SNS5_bin.5	46.22	Ruminant
megahit_SNS6_bin.59	47.86	Ruminant
megahit_SZCM24_bin.91	43.16	Ruminant
metaSPAdes_GBCM5_S173_L002_bin.18	44.54	Ruminant
metaSPAdes_LCN22_bin.57	54	Ruminant
metaSPAdes_M11_bin.37	59.27	Ruminant
metaSPAdes_M11_bin.39	52.04	Ruminant
metaSPAdes_M11_bin.40	53.64	Ruminant
metaSPAdes_M14_bin.5	48	Ruminant
metaSPAdes_NB25_bin.1	50.27	Ruminant
metaSPAdes_NB3_bin.12	47.43	Ruminant
metaSPAdes_NL14_bin.29	50.07	Ruminant
metaSPAdes_NL22_bin.9	48.71	Ruminant
metaSPAdes_NW10_bin.11	47.47	Ruminant
metaSPAdes_NW13_bin.11	45.23	Ruminant
metaSPAdes_NW13_bin.23	49.23	Ruminant
metaSPAdes_NW31_bin.14	51.12	Ruminant
metaSPAdes_NW31_bin.3	48.58	Ruminant
metaSPAdes_NZ7_bin.13	49.17	Ruminant
metaSPAdes_S-11-071_FDME192071055-1a_bin.10	52.76	Ruminant
metaSPAdes_S-11-071_FDME192071055-1a_bin.16	40.74	Ruminant
metaSPAdes_S-11-071_FDME192071055-1a_bin.17	54.24	Ruminant
metaSPAdes_S-11-071_FDME192071055-1a_bin.23	51.49	Ruminant
metaSPAdes_S-11-071_FDME192071055-1a_bin.24	48.48	Ruminant
metaSPAdes_S-11-071_FDME192071055-1a_bin.30	46.71	Ruminant
metaSPAdes_S-13_BDME192032766-1a_bin.4	48.57	Ruminant
metaSPAdes_S-15_BDME192032768-1a_bin.6	52.3	Ruminant
metaSPAdes_S-16_BDME192032769-1a_bin.4	46.39	Ruminant
metaSPAdes_S-17-0037_FDME192071048-1a_bin.18	51.2	Ruminant
metaSPAdes_S-17-0037_FDME192071048-1a_bin.4	51.12	Ruminant
metaSPAdes_S-1_BDME192032754-1a_bin.2	50.97	Ruminant
metaSPAdes_S-2-0033_FDME192071052-1a_bin.9	47.24	Ruminant
metaSPAdes_S-21_BDME192032774-1a_bin.13	46.97	Ruminant
metaSPAdes_S-21_BDME192032774-1a_bin.17	49.87	Ruminant
metaSPAdes_S-21_BDME192032774-1a_bin.25	50.11	Ruminant
metaSPAdes_S-21_FDME192071056-1a_bin.17	55.58	Ruminant
metaSPAdes_S-21_FDME192071056-1a_bin.22	47.59	Ruminant
metaSPAdes_S-21_FDME192071058-1a_bin.15	47.03	Ruminant
metaSPAdes_S-21_FDME192071058-1a_bin.17	54.83	Ruminant
metaSPAdes_S-22_FDME192071049-1a_bin.20	48.23	Ruminant
metaSPAdes_S-22_FDME192071049-1a_bin.9	50.46	Ruminant
metaSPAdes_S-23_FDME192071050-1a_bin.22	48.77	Ruminant
metaSPAdes_S-24-0082_FDME192071063-1a_bin.21	54.69	Ruminant
metaSPAdes_S-24_BDME192032777-1a_bin.5	48.65	Ruminant
metaSPAdes_S-24_FDME192071042-1a_bin.25	53.02	Ruminant
metaSPAdes_S-24_FDME192071042-1a_bin.35	46.74	Ruminant
metaSPAdes_S-24_FDME192071042-1a_bin.50	47.89	Ruminant
metaSPAdes_S-26_BDME192032779-1a_bin.6	47.53	Ruminant
metaSPAdes_S-26_FDME192071045-1a_bin.18	48.22	Ruminant
metaSPAdes_S-28_FDME192071034-1a_bin.11	46.09	Ruminant
metaSPAdes_S-29_FDME192071030-1a_bin.28	45.98	Ruminant
metaSPAdes_S-29_FDME192071030-1a_bin.48	52.69	Ruminant
metaSPAdes_S-2_BDME192032755-1a_bin.6	50.19	Ruminant
metaSPAdes_S-4_BDME192032757-1a_bin.19	47.13	Ruminant
metaSPAdes_S-5-0083_FDME192071057-1a_bin.20	49.66	Ruminant
metaSPAdes_S-509_FDME192071031-1a_bin.1	49.46	Ruminant
metaSPAdes_S-515_FDME192071036-1a_bin.14	49.07	Ruminant
metaSPAdes_S-515_FDME192071036-1a_bin.17	53.18	Ruminant
metaSPAdes_S-515_FDME192071036-1a_bin.22	49.95	Ruminant
metaSPAdes_S-516_FDME192071037-1a_bin.21	51.08	Ruminant
metaSPAdes_S-517_FDME192071046-1a_bin.13	47.29	Ruminant
metaSPAdes_S-518_FDME192071038-1a_bin.2	46.45	Ruminant
metaSPAdes_S-519_FDME192071040-1a_bin.15	53.06	Ruminant
metaSPAdes_S-519_FDME192071040-1a_bin.70	42.41	Ruminant
metaSPAdes_S-520_FDME192071044-1a_bin.22	48.99	Ruminant
metaSPAdes_S-521_FDME192071035-1a_bin.3	49.44	Ruminant
metaSPAdes_S-523_FDME192071043-1a_bin.24	42.83	Ruminant
metaSPAdes_S-523_FDME192071043-1a_bin.49	46.52	Ruminant
metaSPAdes_S-59_BDME192032811-1a_bin.4	45.09	Ruminant
metaSPAdes_S-64_BDME192032816-1a_bin.12	47.11	Ruminant
metaSPAdes_S-64_FDME192071033-1a_bin.24	50.47	Ruminant
metaSPAdes_S-9-0039_FDME192071066-1a_bin.2	49.61	Ruminant
metaSPAdes_S-9-0039_FDME192071066-1a_bin.9	51.72	Ruminant
metaSPAdes_S-97_FDME192071047-1a_bin.12	50.02	Ruminant
metaSPAdes_SBCM13_S158_L002_bin.26	44.75	Ruminant
metaSPAdes_SZCM13_bin.31	43.85	Ruminant
BL-unmapped_bin_276.fa	46.39	Pig
BL-unmapped_bin_400.fa	46.73	Pig
Boar-s10_bin_47.fa	49.34	Pig
Boar-s11_bin_46.fa	52.31	Pig
Boar-s14_bin_10.fa	52	Pig
Boar-s19_bin_10.fa	53.2	Pig
Boar-s19_bin_26.fa	49.13	Pig
Boar-s19_bin_2.fa	51.68	Pig
